left,right,sound_id,ground_truth,decision,nPIT,choiceTot,acc_cycle
DBlue40_1.wav,DBlue40_4.wav,Orange291_3.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange306_1.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1551_3.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White567_4.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,Orange306_1.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange304_1.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White543_1.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White53_r4_4.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,Orange304_1.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange243_1.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Pink44_r21_3.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White568_1.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Grey650_2.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2020_4.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Pink44_r21_3.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White53_r4_1.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,Orange305_1.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White53_r4_1.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M2212_4.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M1230_3.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White606_6.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,LBlue401_1.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White561_4.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2021_5.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2020_1.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White568_1.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,Pink502_2.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M1171_2.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange293_4.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1230_3.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Pink44_r25_3.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White567_4.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White53_r2_1.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange300_3.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White53_r1_6.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White544_1.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Pink44_r21_3.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M1234_3.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M2024_1.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M2024_1.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2212_4.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White568_4.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M2211_4.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange291_3.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2024_1.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2212_4.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White564_4.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White53_r4_4.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White53_r1_1.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Pink44_r21_3.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1172_2.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M2022_4.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,LBlue401_1.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2211_5.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1171_2.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2212_3.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,LBlue330_3.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White53_r0_4.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White53_r2_4.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,Pink44_r21_3.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M1414_2.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White543_1.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White53_r4_4.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M2020_1.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,LBlue403_1.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange291_3.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1416_2.wav,probe,Left,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M1230_3.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1235_3.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1234_3.wav,probe,Right,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,LBlue403_1.wav,probe,NA,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2023_5.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White564_4.wav,probe,NA,111,77,0.709090909
DBlue40_1.wav,DBlue40_4.wav,White542_1.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,White544_1.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White561_4.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,Orange293_5.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White53_r3_1.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M1230_3.wav,probe,Left,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,White53_r3_1.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange305_1.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M2212_4.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M2215_3.wav,probe,NA,273,249,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M2022_4.wav,probe,Right,378,349,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1233_4.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,White567_4.wav,probe,Right,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M2021_6.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M1232_2.wav,probe,Right,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,Orange305_1.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M2210_4.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,White567_4.wav,probe,Right,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,Orange300_1.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,M1171_2.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,Orange302_3.wav,probe,Right,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,M2021_5.wav,probe,Right,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,M2212_4.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,Orange306_4.wav,probe,NA,55,28,0.665427509
DBlue40_1.wav,DBlue40_4.wav,White53_r0_4.wav,probe,Left,55,28,0.665427509
DBlue40_1.wav,DBlue40_4.wav,White608_6.wav,probe,NA,111,77,0.709090909
DBlue40_1.wav,DBlue40_4.wav,M2212_4.wav,probe,Right,111,77,0.709090909
DBlue40_1.wav,DBlue40_4.wav,M2215_3.wav,probe,Right,111,77,0.709090909
DBlue40_1.wav,DBlue40_4.wav,M2023_4.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,White53_r3_1.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M1234_1.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,White53_r4_4.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M2211_5.wav,probe,Right,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,Orange306_1.wav,probe,NA,55,28,0.665427509
DBlue40_1.wav,DBlue40_4.wav,White53_r0_1.wav,probe,Right,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,White53_r1_1.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,White53_r1_6.wav,probe,Right,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,White608_6.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,M1232_2.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,Pink44_r20_3.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,White53_r4_1.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,White541_1.wav,probe,Right,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,White541_6.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,Orange291_3.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M1234_3.wav,probe,Right,111,77,0.709090909
DBlue40_1.wav,DBlue40_4.wav,M2024_4.wav,probe,Right,111,77,0.709090909
DBlue40_1.wav,DBlue40_4.wav,M2022_1.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M2212_3.wav,probe,Left,55,28,0.665427509
DBlue40_1.wav,DBlue40_4.wav,White608_6.wav,probe,NA,98,63,0.872641509
DBlue40_1.wav,DBlue40_4.wav,M2023_6.wav,probe,Right,111,77,0.709090909
DBlue40_1.wav,DBlue40_4.wav,Orange302_3.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,White53_r4_1.wav,probe,Right,111,77,0.709090909
DBlue40_1.wav,DBlue40_4.wav,Orange293_5.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,M2215_3.wav,probe,NA,202,99,0.917771883
DBlue40_1.wav,DBlue40_4.wav,White53_r1_1.wav,probe,Right,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange244_1.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Grey651_2.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2024_4.wav,probe,Right,165,95,0.872641509
DBlue40_1.wav,DBlue40_4.wav,M2022_4.wav,probe,Right,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange306_1.wav,probe,Left,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2022_4.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2211_5.wav,probe,Left,197,169,0.832920792
DBlue40_1.wav,DBlue40_4.wav,White53_r2_1.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Grey650_2.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1234_3.wav,probe,Left,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2213_2.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Orange243_1.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1233_3.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1231_4.wav,probe,Left,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1414_2.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,Pink502_2.wav,probe,Left,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1172_2.wav,probe,NA,197,169,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M1550_3.wav,probe,Left,197,169,0.832920792
DBlue40_1.wav,DBlue40_4.wav,Orange300_1.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M1873_2.wav,probe,Left,197,169,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M2210_3.wav,probe,NA,197,169,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M1234_1.wav,probe,Left,197,169,0.832920792
DBlue40_1.wav,DBlue40_4.wav,M1234_1.wav,probe,Left,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2020_1.wav,probe,NA,296,253,0.861035422
DBlue40_1.wav,DBlue40_4.wav,M2020_4.wav,probe,NA,197,169,0.832920792
