ID_String,Positive,Negative,Anchor,Cycle_Accuracy,Consistency,Margin_Type
4_3_110174443,White561_2.wav,M1811_3.wav,M2020_2.wav,0.726094003241491,0.8333333333333334,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,M1233_1.wav,0.763075164332666,0.75,high
4_3_110174443,White561_2.wav,M1811_3.wav,White542_1.wav,0.726094003241491,0.75,high
4_3_110174443,White561_2.wav,M1811_3.wav,DBlue74_4.wav,0.726094003241491,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,M544_4.wav,0.726094003241491,0.8333333333333334,high
4_5_011017500c,Grey640_4.wav,M1874_1.wav,Grey653_2.wav,0.71539206195547,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,LBlue320_5.wav,0.726094003241491,0.8333333333333334,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,White543_7.wav,0.701754385964912,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,M2023_4.wav,0.655524079320113,1.0,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,M1271_1.wav,0.763075164332666,0.7142857142857143,high
4_1_011017500c,M1272_3.wav,White541_1.wav,M1872_6.wav,0.728116710875332,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,Orange240_5.wav,0.680972818311874,0.8,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1231_1.wav,0.71539206195547,0.8,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,Grey643_2.wav,0.700475435816165,1.0,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,M1313_6.wav,0.763075164332666,0.8333333333333334,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,White53_r1_1.wav,0.650669642857143,1.0,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,Orange242_3.wav,0.763075164332666,0.7,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,White568_4.wav,0.700475435816165,1.0,high
4_4_011017273f,M2212_5.wav,Yellow14_r27_1.wav,M1688_4.wav,0.680972818311874,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,Grey642_2.wav,0.71539206195547,1.0,high
4_2_0110170d83,Grey643_1.wav,White541_6.wav,Pink44_r20_2.wav,0.650669642857143,0.75,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,DBlue78_3.wav,0.650669642857143,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,Orange291_3.wav,0.655524079320113,1.0,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,Pink44_r20_1.wav,0.763075164332666,0.8,high
1_3_01101707d7,M1171_2.wav,M542_2.wav,Orange243_4.wav,0.655524079320113,0.75,high
4_2_0110170d83,Grey643_1.wav,White541_6.wav,DBlue51_3.wav,0.650669642857143,1.0,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,M1230_3.wav,0.700475435816165,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,LBlue323_3.wav,0.726094003241491,0.75,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,DBlue72_6.wav,0.763075164332666,0.7,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,White561_1.wav,0.655524079320113,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1232_2.wav,0.71539206195547,1.0,high
4_1_011017500c,M1272_3.wav,White541_1.wav,M2023_4.wav,0.728116710875332,1.0,high
4_1_011017500c,M1272_3.wav,White541_1.wav,Pink44_r21_3.wav,0.728116710875332,0.75,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,Grey652_7.wav,0.680972818311874,1.0,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,Grey645_8.wav,0.701754385964912,1.0,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,Orange291_1.wav,0.763075164332666,0.7,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,White545_4.wav,0.71539206195547,1.0,high
1_4_011016fa6c,M1685_3.wav,M2021_5.wav,M1315_4.wav,0.679577464788732,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1414_2.wav,0.71539206195547,1.0,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,Pink44_r25_2.wav,0.763075164332666,0.8571428571428571,high
1_4_011016fa6c,M1685_3.wav,M2021_5.wav,M1812_4.wav,0.679577464788732,1.0,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,M1270_2.wav,0.763075164332666,0.7,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,Grey653_3.wav,0.700475435816165,1.0,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,M183Middle8_3.wav,0.650669642857143,1.0,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,Orange304_3.wav,0.763075164332666,0.8,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,Orange304_4.wav,0.680972818311874,1.0,high
4_1_011017500c,White541_1.wav,M1272_3.wav,DBlue53_4.wav,0.728116710875332,1.0,high
4_2_0110170d83,Grey643_1.wav,White541_6.wav,Orange300_1.wav,0.650669642857143,1.0,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,White53_r2_1.wav,0.650669642857143,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,M1686_4.wav,0.680972818311874,0.7142857142857143,high
4_4_011017273f,M2212_5.wav,Yellow14_r27_1.wav,M1502_3.wav,0.680972818311874,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,Grey652_9.wav,0.71539206195547,1.0,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,DBlue75_4.wav,0.700475435816165,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,M1870_6.wav,0.680972818311874,1.0,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,LBlue332_6.wav,0.763075164332666,0.7,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,LBlue334_3.wav,0.763075164332666,0.7,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M2210_4.wav,0.71539206195547,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,M1172_6.wav,0.680972818311874,1.0,high
4_1_011017500c,M1272_3.wav,White541_1.wav,Grey650_2.wav,0.728116710875332,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1230_1.wav,0.71539206195547,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,White568_6.wav,0.655524079320113,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,M955_2.wav,0.726094003241491,0.8333333333333334,high
4_1_011017500c,M1272_3.wav,White541_1.wav,M2211_5.wav,0.728116710875332,0.7142857142857143,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,DBlue42_4.wav,0.701754385964912,1.0,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,Pink44_r20_1.wav,0.700475435816165,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,M2212_4.wav,0.726094003241491,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,LBlue330_1.wav,0.71539206195547,1.0,high
4_4_011017273f,M2212_5.wav,Yellow14_r27_1.wav,LBlue320_5.wav,0.680972818311874,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,White567_6.wav,0.655524079320113,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,White544_1.wav,0.655524079320113,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1413_2.wav,0.71539206195547,1.0,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,LBlue403_3.wav,0.700475435816165,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,M1874_6.wav,0.680972818311874,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,White609_7.wav,0.71539206195547,1.0,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,DBlue53_6.wav,0.763075164332666,0.7,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,Grey644_9.wav,0.655524079320113,1.0,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,LBlue331_2.wav,0.763075164332666,0.7142857142857143,high
1_6_0110173f53,Pink44_r20_3.wav,Orange290_4.wav,M1413_1.wav,0.763075164332666,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,M542_5.wav,0.726094003241491,0.8571428571428571,high
4_1_011017500c,White541_1.wav,M1272_3.wav,White53_r2_4.wav,0.728116710875332,1.0,high
2_6_0110174fdb,White545_5.wav,M1811_5.wav,M2212_2.wav,0.701754385964912,0.8,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,White561_4.wav,0.763075164332666,0.8333333333333334,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,M1872_3.wav,0.650669642857143,0.75,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1873_5.wav,0.71539206195547,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,DBlue52_7.wav,0.680972818311874,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,LBlue333_1.wav,0.71539206195547,0.75,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M2211_2.wav,0.71539206195547,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,DBlue70_8.wav,0.655524079320113,1.0,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,M2023_1.wav,0.701754385964912,1.0,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,Grey640_3.wav,0.701754385964912,0.75,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,M1872_6.wav,0.680972818311874,1.0,high
4_1_011017500c,White541_1.wav,M1272_3.wav,M1874_3.wav,0.728116710875332,0.75,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,Orange290_3.wav,0.71539206195547,1.0,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,DBlue74_4.wav,0.700475435816165,1.0,high
4_1_011017500c,M1272_3.wav,White541_1.wav,DBlue43_4.wav,0.728116710875332,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,M1273_4.wav,0.726094003241491,0.8,high
4_3_110174443,White561_2.wav,M1811_3.wav,M2024_5.wav,0.726094003241491,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M2210_2.wav,0.71539206195547,0.8571428571428571,high
2_6_0110174fdb,White545_5.wav,M1811_5.wav,M1686_3.wav,0.701754385964912,1.0,high
1_4_01101722a6,Orange244_4.wav,M1688_5.wav,M1871_3.wav,0.700475435816165,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,White561_1.wav,0.726094003241491,0.8,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,DBlue74_7.wav,0.655524079320113,1.0,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,DBlue78_4.wav,0.650669642857143,1.0,high
4_3_110174443,White561_2.wav,M1811_3.wav,M1552_5.wav,0.726094003241491,0.8,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,M1553_3.wav,0.763075164332666,0.75,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,DBlue51_7.wav,0.680972818311874,1.0,high
1_4_01101722a6,M1688_5.wav,Orange244_4.wav,M1231_1.wav,0.700475435816165,1.0,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,White542_1.wav,0.763075164332666,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,White609_2.wav,0.71539206195547,1.0,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,Grey642_7.wav,0.701754385964912,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,M1871_6.wav,0.680972818311874,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,M1271_3.wav,0.655524079320113,1.0,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,White544_7.wav,0.701754385964912,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,White606_6.wav,0.71539206195547,1.0,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,DBlue75_4.wav,0.650669642857143,1.0,high
4_5_011017500c,Grey640_4.wav,M1874_1.wav,M1416_4.wav,0.71539206195547,1.0,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,M1686_4.wav,0.701754385964912,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M2215_3.wav,0.71539206195547,0.8,high
4_3_110174443,White561_2.wav,M1811_3.wav,White567_2.wav,0.726094003241491,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1316_2.wav,0.71539206195547,1.0,high
4_2_0110170d83,Grey643_1.wav,White541_6.wav,M2020_1.wav,0.650669642857143,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,M1273_3.wav,0.655524079320113,1.0,high
2_6_0110174fdb,M1811_5.wav,White545_5.wav,White563_1.wav,0.701754385964912,1.0,high
1_4_01101722a6,M1688_5.wav,Orange244_4.wav,White53_r2_1.wav,0.700475435816165,1.0,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,Orange306_1.wav,0.650669642857143,1.0,high
2_6_0110174fdb,White545_5.wav,M1811_5.wav,M1685_3.wav,0.701754385964912,1.0,high
1_3_01101707d7,M1171_2.wav,M542_2.wav,Pink44_r20_2.wav,0.655524079320113,1.0,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,Orange302_1.wav,0.650669642857143,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1872_2.wav,0.71539206195547,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,M1410_4.wav,0.71539206195547,1.0,high
1_4_01101722a6,M1688_5.wav,Orange244_4.wav,White53_r1_6.wav,0.700475435816165,0.75,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,DBlue75_7.wav,0.655524079320113,1.0,high
4_2_0110170d83,White541_6.wav,Grey643_1.wav,DBlue75_3.wav,0.650669642857143,0.8,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,M1233_4.wav,0.655524079320113,1.0,high
1_3_01101707d7,M542_2.wav,M1171_2.wav,White567_4.wav,0.655524079320113,0.75,high
1_4_01101722a6,M1688_5.wav,Orange244_4.wav,M1172_5.wav,0.700475435816165,1.0,high
1_6_0110173f53,Orange290_4.wav,Pink44_r20_3.wav,M1414_1.wav,0.763075164332666,0.875,high
4_1_011017500c,M1272_3.wav,White541_1.wav,LBlue401_1.wav,0.728116710875332,1.0,high
4_5_011017500c,M1874_1.wav,Grey640_4.wav,Grey645_4.wav,0.71539206195547,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,Grey645_9.wav,0.680972818311874,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,M183Middle7_2.wav,0.680972818311874,1.0,high
4_4_011017273f,Yellow14_r27_1.wav,M2212_5.wav,Orange305_5.wav,0.680972818311874,1.0,high
